Nome_Upa;Contagem_Avaliacoes;Pontuacao_Total;Cidade;Estado;Bairro;Rua;CEP;Origem_Avaliacao;Data_Coleta;Data_Publicacao_Avaliacao;Texto_Avaliacao;Estrelas
UPA 21 DE JUNHO;133;2.9;SAO PAULO;SAO PAULO;FREGUESIA DO O;AV. JOAO PAULO I, 421;02738-000;Google;2025-10-18T02:19:25;2025-09-05T12:58:23;DOUTOR DAN ZIMERMAN SIMPLESMENTE MARAVILHOSO , FUI MUITO BEM ATENDIDA , COM RESPEITO E HUMANIDADE;5
UPA 21 DE JUNHO;133;2.9;SAO PAULO;SAO PAULO;FREGUESIA DO O;AV. JOAO PAULO I, 421;02738-000;Google;2025-10-18T02:19:25;2025-09-03T00:01:34;PESSOAL QUE ATENDE SAO EDUCADOS E PRESTATIVOS MAS, PERDERAM A FICHA DA MINHA MAE ENTAO O RETORNO DEMOROU DEMAIS.;1
UPA 21 DE JUNHO;133;2.9;SAO PAULO;SAO PAULO;FREGUESIA DO O;AV. JOAO PAULO I, 421;02738-000;Google;2025-10-18T02:19:25;2025-08-28T20:32:40;ACOMPANHEI MINHA TIA DE 88 ANOS E FOMOS MUITO BEM ATENDIDAS, DESDE A AJUDANTE DE SENHAS, TRIAGEM, GUICHE DE FICHA ATE O DR GILBERTO PEREZ DA ORTOPEDIA, MESMO SENDO A CONSULTA MUITO RAPIDA FOI CLARA, OBEJTIVA E ACERTIVA! (AFINAL HAVIA MUITOS OUTROS PACIENTES PARA SEREM ATENDIDOS);5
UPA 21 DE JUNHO;133;2.9;SAO PAULO;SAO PAULO;FREGUESIA DO O;AV. JOAO PAULO I, 421;02738-000;Google;2025-10-18T02:19:25;2025-08-25T23:14:45;NAO ADIANTA TER UMA EQUIPE MEDICA BOA  SE A ENFERMAGEM E PESSIMA E GROSSA. NAO TEM O MINIMO DE RESPEITO COM O PACIENTE DEMORA E SAO EXTREMAMENTE GROSSAS ,SE NAO SABE LIDAR COM O PUBLICO E MELHOR DAR LUGAR PARA QUEM PRETENDE TRABALHAR.;1
UPA 21 DE JUNHO;133;2.9;SAO PAULO;SAO PAULO;FREGUESIA DO O;AV. JOAO PAULO I, 421;02738-000;Google;2025-10-18T02:19:25;2025-08-23T10:33:56;TRIAGEM RAPIDA, NO ENTANTO A RECEPCAO PARA CADASTRO DO PACIENTE E LETARGICA, MUITA CONVERSA. APOS 1H DA TRIAGEM OS FUNCIONARIOS DA RECEPCAO FOI DEIXAR AS FOLHAS DE ATENDIMENTOS PARA OS MEDICOS CHAMAR. CHEGUEI NA TROCA DO TURNO NOITE 22/08/25 PARA O DIA 23/08/25. DEVERIAM ORIENTAR OS RESPONSAVEIS PELO CADASTRO A IMPORTANCIA DELES TAMBEM PARA A SATISFACAO POPULACIONAL.;4
UPA 21 DE JUNHO;133;2.9;SAO PAULO;SAO PAULO;FREGUESIA DO O;AV. JOAO PAULO I, 421;02738-000;Google;2025-10-18T02:19:25;2025-08-20T08:43:30;2:30 HRS ESPERANDO PRA RETORNAR,  NAO HAVIA NENHUM PACIENTE NA ESPERA E OS MEDICOS NAO ACORDAVAM ...,. PEDI PRA TIRAR O ACESSO E FUI EMBORA .... PARABENS PELA DEDICACAO AO PACIENTE... NO CURSO E FACULDADE E TODO MUNDO SORRINDO,. NA HORA DE TRABALHAR TUDO DORMINDO 💤 CHEGUEI COM DOR DE CABECA E DIABETES 511 SAI DE LA COM 364, E SO PASSOU UMA INSULINA E SORO,. O SORO O MEDICO DISSE QUE IA PASSAR A DOR DE CABECA., E TENHO PROVAS ....;1
UPA 21 DE JUNHO;133;2.9;SAO PAULO;SAO PAULO;FREGUESIA DO O;AV. JOAO PAULO I, 421;02738-000;Google;2025-10-18T02:19:25;2025-08-14T23:43:42;GOSTARIA DE ELOGIAR A EFICIENCIA E PROFISSIONALISMO DO PROFISSIONAL SEGURANCA (ORIENTAL/ASIATICO) QUE TRABALHOU NO FINAL DESTA TARDE. MUITO COMPROMETIDO COM O TRABALHO. PARABENS. JA A UPA DEIXA A DESEJAR. NEM APARELHO PRA ELETRO TEM...;5
UPA 21 DE JUNHO;133;2.9;SAO PAULO;SAO PAULO;FREGUESIA DO O;AV. JOAO PAULO I, 421;02738-000;Google;2025-10-18T02:19:25;2025-08-09T00:43:26;QUERO REGISTRAR O ATENDIMENTO NO PLANTAO NOTURNO PELO MEDICO DR CARLOS QUE COM TODO CARINHO ATENDEU MINHA MAE QUE ESTAVA SURDA E FEZ UM PROCEDIMENTO DE LAVAGEM DE OUVIDO, JUNTAMENTE COM A ENFERMEIRA CIDA, QUANTO COMPROMETIMENTO E CARINHO, PQ ELE SO E CLINICO, NEM TINHA COMO REALIZAR O PROCEDIMENTO MAS ME DISSE QUE IA AJUDAR E DAR UM JEITO, TINHA CERA ENCROSTADA NO FUNDO DO OUVIDO E MINHA MAE SAIU OUVINDO! MERECE ESSA EQUIPE NOTA UM MILHAO.;5
UPA 21 DE JUNHO;133;2.9;SAO PAULO;SAO PAULO;FREGUESIA DO O;AV. JOAO PAULO I, 421;02738-000;Google;2025-10-18T02:19:25;2025-08-07T18:38:34;FIQUEI INTERNADA DOIS DIAS,FUI MUITO BEM ATENDIDA..OS MEDICOS E ENFERMEIRAS SAO OTIMOS!👏👏🙏🌹♥️;5
UPA 21 DE JUNHO;133;2.9;SAO PAULO;SAO PAULO;FREGUESIA DO O;AV. JOAO PAULO I, 421;02738-000;Google;2025-10-18T02:19:25;2025-08-05T16:30:16;A ESTRUTURA TA BEM MELHOR, MAS OS PROFISSIONAIS EM SI SAO FOLGADOS DMS. SO QUEREM FICAR BATENDO PAPO E RECLAMANDO. ESTOU NA OBSERVACAO ADULTO COM A MINHA MAE OUVINDO PALAVROES E ATE O MONITOR DELA DESLIGARAM POIS NAO QUEREM OUVIR BARULHO PQ SEGUNDO ELAS “NAO ESTAO NA UTI”;1
UPA 21 DE JUNHO;133;2.9;SAO PAULO;SAO PAULO;FREGUESIA DO O;AV. JOAO PAULO I, 421;02738-000;Google;2025-10-18T02:19:25;2025-07-31T18:21:05;APOS A REFORMA A UPA O AMBIENTE MELHOR MUITO, APENAS O ATENDIMENTO QUE CONTINUA PESSIMO. OS PROFISSIONAIS SE DEVO AINDA CHAMAR ELES DE PROFISSIONAL, SEM EDUCACAO SEM IMPATIA BANDO DE GROSSO, ACHANDO QUE ESTAO FAZENDO FAVOR PARA POPULACAO.  PESSOA PRECISAR DE ATENDIMENTO MEDICO COM A PRESSAO MAIS DE 19.12 ATENDIMENTO EMERGENCIAL E LEVAR MAIS DE 5 HORAS MUITO TRISTE. PRECISAMOS DE MEDICOS COM MAIS RESPONSAVEL MAIS AMOR A PROFISSAO.  VAMOS MUDAR ESSA EQUIPE DE ATENDIMENTO BANDO DE CANSADOS.;1
UPA 21 DE JUNHO;133;2.9;SAO PAULO;SAO PAULO;FREGUESIA DO O;AV. JOAO PAULO I, 421;02738-000;Google;2025-10-18T02:19:25;2025-07-30T20:36:32;AVALIACAO NAO PREENCHIDA;5
UPA 21 DE JUNHO;133;2.9;SAO PAULO;SAO PAULO;FREGUESIA DO O;AV. JOAO PAULO I, 421;02738-000;Google;2025-10-18T02:19:25;2025-07-30T13:16:23;IMPOSSIVEL CONSEGUIR FALAR NESSE LOCAL, NENHUM NUMERO QUE ACHAMOS EXISTE E O UNICO QUE PELO MENOS TOCA NINGUEM ATENDE, UM ABSURDO.;1
UPA 21 DE JUNHO;133;2.9;SAO PAULO;SAO PAULO;FREGUESIA DO O;AV. JOAO PAULO I, 421;02738-000;Google;2025-10-18T02:19:25;2025-07-29T10:41:35;MELHOROU E MUITO AS INSTALACOES E ATENDIMENTO . MEDICOS NOVOS E BEM LIMPO E ORGANIZADO.;5
UPA 21 DE JUNHO;133;2.9;SAO PAULO;SAO PAULO;FREGUESIA DO O;AV. JOAO PAULO I, 421;02738-000;Google;2025-10-18T02:19:25;2025-07-08T20:55:36;AVALIACAO NAO PREENCHIDA;4
UPA 21 DE JUNHO;133;2.9;SAO PAULO;SAO PAULO;FREGUESIA DO O;AV. JOAO PAULO I, 421;02738-000;Google;2025-10-18T02:19:25;2025-07-02T07:48:13;AVALIACAO NAO PREENCHIDA;5
UPA 21 DE JUNHO;133;2.9;SAO PAULO;SAO PAULO;FREGUESIA DO O;AV. JOAO PAULO I, 421;02738-000;Google;2025-10-18T02:19:25;2025-06-20T02:27:14;APESAR DA REFORMA DO AMBIENTE QUE FICOU MUITO BOM, MAS PECA NO ATENDIMENTO INCLUSIVE FUI LA HJ COM DORES NAS COSTAS, COSTELAS E PEITO, O MEDICO QUE ME ATENDEU FEZ UM MAIOR DESCASO, MUITA FALTA DE RESPEITO POR PARTE DOS FUNCIONARIOS,UM PESSIMO ATENDIMENTO, MUITA DEMORA,MEDICO ESTA PREOCUPADO TA MAIS PREOCUPADO COM O HORARIO QUE O PACIENTE TRABALHA DO QUE O QUE O PACIENTE TA SENTINDO!;1
UPA 21 DE JUNHO;133;2.9;SAO PAULO;SAO PAULO;FREGUESIA DO O;AV. JOAO PAULO I, 421;02738-000;Google;2025-10-18T02:19:25;2025-06-20T00:27:23;ATENDIMENTO RECEPCAO BOA, ENFERMEIRAS MEDICACAO OTIMAS, AMBIENTE LIMPO.POREM, O MEDICO PSIQUIATRA QUE NOS ATENDEU EXTREMAMENTE MAL HUMORADO, FOI RUDE CONOSCO, RESPOSTAS RISPIDAS. NAO GOSTEI DELE. OUTROS MEDICOS, ATENDIMENTO MAIS OU MENOS.;4
UPA 21 DE JUNHO;133;2.9;SAO PAULO;SAO PAULO;FREGUESIA DO O;AV. JOAO PAULO I, 421;02738-000;Google;2025-10-18T02:19:25;2025-06-08T11:38:56;AVALIACAO NAO PREENCHIDA;5
UPA 21 DE JUNHO;133;2.9;SAO PAULO;SAO PAULO;FREGUESIA DO O;AV. JOAO PAULO I, 421;02738-000;Google;2025-10-18T02:19:25;2025-06-05T08:37:58;LEVEI MINHA FILHA ONTEM A UPA , E FIQUEI SURPRESA COM O ATENDIMENTO. FOMOS SUPER BEM ATENDIDOS, TODOS FUNCIONARIOS BEM ATENCIOSOS. FOI EXAMINADA, MEDICADA.;5
UPA 21 DE JUNHO;133;2.9;SAO PAULO;SAO PAULO;FREGUESIA DO O;AV. JOAO PAULO I, 421;02738-000;Google;2025-10-18T02:19:25;2025-06-04T13:27:08;AVALIACAO NAO PREENCHIDA;5
UPA 21 DE JUNHO;133;2.9;SAO PAULO;SAO PAULO;FREGUESIA DO O;AV. JOAO PAULO I, 421;02738-000;Google;2025-10-18T02:19:25;2025-05-27T13:24:01;PESSIMO.... O INFERNO NA TERRA!! ONTEM MINHA FILHA MUITO MAL, COM DORES FORTE NO CORPO E FEBRE, O MEDICO MAL EDUCADO DEU DIPIRONA E MANDOU PRA CASA! FALTA DE EMPATIA E SEM ETICA NENHUMA 😢;1
UPA 21 DE JUNHO;133;2.9;SAO PAULO;SAO PAULO;FREGUESIA DO O;AV. JOAO PAULO I, 421;02738-000;Google;2025-10-18T02:19:25;2025-05-26T23:39:19;MINHA PRIMEIRA EXPERIENCIA E NAO GOSTEI NADA MAIS DE QUATRO HORAS AGUARDANDO, COM A NENEM COM FEBRE PRECISANDO TOMAR UMA MEDICACAO Q FOI ENCAMINHADA DE OUTRO HOSPITAL, NA CLASSIFICACAO APENAS MEDIU A SATURACAO DELA,..;1
UPA 21 DE JUNHO;133;2.9;SAO PAULO;SAO PAULO;FREGUESIA DO O;AV. JOAO PAULO I, 421;02738-000;Google;2025-10-18T02:19:25;2025-05-26T10:39:27;MUITO CHEIO, POUCOS FUNCIONARIOS;2
UPA 21 DE JUNHO;133;2.9;SAO PAULO;SAO PAULO;FREGUESIA DO O;AV. JOAO PAULO I, 421;02738-000;Google;2025-10-18T02:19:25;2025-05-24T01:44:46;FUI ATENDIDO PELO ENFERMEIRO MARCOS, UM OTIMO PROFISSIONAL E CARATER SEM IGUAL.;5
UPA 21 DE JUNHO;133;2.9;SAO PAULO;SAO PAULO;FREGUESIA DO O;AV. JOAO PAULO I, 421;02738-000;Google;2025-10-18T02:19:25;2025-05-23T19:42:26;PESSIMO ATENDIMENTO MUITO DEMORADO TODOS OS SETORES PERDIDOS E DESORGANIZADO ATENDENTES PRIMARIOS;1
UPA 21 DE JUNHO;133;2.9;SAO PAULO;SAO PAULO;FREGUESIA DO O;AV. JOAO PAULO I, 421;02738-000;Google;2025-10-18T02:19:25;2025-05-15T20:43:47;ATENDIMENTO MUITO DEMORADO. PASSAM VARIAS PESSOAS NA FRENTE E QUEM CHEGA CEDO , NAO E ATENDIDO. TEM POUCO MEDICO, NENHUM RECURSO.;1
UPA 21 DE JUNHO;133;2.9;SAO PAULO;SAO PAULO;FREGUESIA DO O;AV. JOAO PAULO I, 421;02738-000;Google;2025-10-18T02:19:25;2025-05-14T00:20:29;TODOS!!! DESDA RECEPCAO AO ATENDENTES.. ENFERMEIROS.. SEGURANCAS MUITO EDUCADOS E PRESTATIVOS. QUANDO CHEGUEI NA SALA DO MEDICO DR.LENILSON QUEIROZ MEDICO PLANTONISTA CRM /SP142.741,UM BICHO...UM CAO..GROSSEIRO...MAL ME EXAMINOU..SO FEZ ALGUMAS PERGUNTAS...ME DEU A RECEITA COM ALGUNS MEDICAMENTOS..NUM FIQUEI 2 MINUTOS NA SALA. EU ESTOU COM SUSPEITA DE COVID.. NEM SE IMPORTOU NAO PEDIU EXAMES....UM RAIO  X DO MEU PULMAO.. ENTREI 20:35 E SAI DE LA AS 23:09. TOMARA QUE ESSA DESGRACA DE MEDICO NUNCA MAIS DE PLANTAO EM PRONTO SOCORRO NENHUM..;1
UPA 21 DE JUNHO;133;2.9;SAO PAULO;SAO PAULO;FREGUESIA DO O;AV. JOAO PAULO I, 421;02738-000;Google;2025-10-18T02:19:25;2025-05-13T20:09:53;MUITO DESORGANIZADO PERDEM A FICHA DOS PACIENTES AI TEM QUE FICAR ESPERANDO NINGUEM DA INFORMACAO DIREITO E UMA PENA ANTES DA REFORMA ERA MELHOR O ATENDIMENTO;2
UPA 21 DE JUNHO;133;2.9;SAO PAULO;SAO PAULO;FREGUESIA DO O;AV. JOAO PAULO I, 421;02738-000;Google;2025-10-18T02:19:25;2025-05-12T16:09:42;PESSIMA, PROFISSIONAIS DESRESPEITOSOS E DESORGANIZADOS. DEMORA NO ATENDIMENTO;1
UPA 21 DE JUNHO;133;2.9;SAO PAULO;SAO PAULO;FREGUESIA DO O;AV. JOAO PAULO I, 421;02738-000;Google;2025-10-18T02:19:25;2025-05-08T20:14:26;AVALIACAO NAO PREENCHIDA;5
UPA 21 DE JUNHO;133;2.9;SAO PAULO;SAO PAULO;FREGUESIA DO O;AV. JOAO PAULO I, 421;02738-000;Google;2025-10-18T02:19:25;2025-05-07T23:29:40;HORRIVEL,CHEGUEI AS 14HS,PERDERAM A FICHA DE EXAME ,SAI AS 21 HS E NEM REMEDIO A MEDICA PASSOU ,EU COM 2 SEMANAS COM DIARREIA SEM CONTAR A GROSSERIA DAS MOCAS DA COLETA;1
UPA 21 DE JUNHO;133;2.9;SAO PAULO;SAO PAULO;FREGUESIA DO O;AV. JOAO PAULO I, 421;02738-000;Google;2025-10-18T02:19:25;2025-04-29T19:35:34;HORRIVEL  O MEDICO NEM OLHOU NA MINHA CARA , FALEI QUE ESTAVA COM A GARGANTA RUIM  OLHOU DE LONGE QUASE UM METRO DE DISTANCIA,  ENTRA OUTROS MEDICOS NA SALA FICAM CONVERSANDO   E NAO CHAMAM  NINGUEM  FIQUEI DAS 11:00 ATE AS 17:20  E SO ME RECEITOU BEZETACIL NUMVA MAIS VOLTO;1
UPA 21 DE JUNHO;133;2.9;SAO PAULO;SAO PAULO;FREGUESIA DO O;AV. JOAO PAULO I, 421;02738-000;Google;2025-10-18T02:19:25;2025-04-20T05:29:57;AVALIACAO NAO PREENCHIDA;4
UPA 21 DE JUNHO;133;2.9;SAO PAULO;SAO PAULO;FREGUESIA DO O;AV. JOAO PAULO I, 421;02738-000;Google;2025-10-18T02:19:25;2025-04-18T08:14:09;FUI SUPER BEM ATENDIDO NA RECEPCAO NA TRIAGEM.... CHEGUEI PASSANDO MAL COM FEBRE FALTA DE AR..DOR NO CORPO....MAIS QUANDO CHEGUEI NO MEDICO FUI SUPER MAL ATENDIDO EXPLIQUEI PARA ELE OQUE EU TAVA SENTINDO.ELE FOI SUPER MAL EDUCADO MEU MAL FOI NAO VER O NOME DELE POS NEM A RECEITA DOS REMEDIOS QUE ERA TOMA ELE ME DEU..SEI QUE E UM SENHOR DE CABELOS GRISALHOS JA DE IDADE..SO MANDO EU TOMA UMA MEDICACAO QUE NEM FALOU O NOME .E FALOU QUE EU ESTAVA DE ALTA...E FUI NO OUTRO POSTO.FOI CONSTATADO.COMECO DE PENEMONIA..POS JA TINHA SEMANAS TOCINDO.E EU AVISEI A ELE SOBRE ISSO..MINHA TRISTEZA E RAIZA E NAO TER VISTO O NOME DELE ...;1
UPA 21 DE JUNHO;133;2.9;SAO PAULO;SAO PAULO;FREGUESIA DO O;AV. JOAO PAULO I, 421;02738-000;Google;2025-10-18T02:19:25;2025-04-13T21:26:50;EM 2 HORAS DERAM PONTOS NA CABECA DA MINHA MAE, FIZERAM RAIO X, GESSO, MEDICACAO, E NOS DERAM REMEDIOS.;5
UPA 21 DE JUNHO;133;2.9;SAO PAULO;SAO PAULO;FREGUESIA DO O;AV. JOAO PAULO I, 421;02738-000;Google;2025-10-18T02:19:25;2025-04-13T19:11:09;O AMBIENTE NO GERAL MUITO PARA MELHOR, MAS NA MINHA CONCEPCAO MEDICOS PLANTONISTAS ESTAO PIORES QUE ACOUGUEIROS, NEM OLHA NA SUA CARA , NAO LEVANTA A NADEGAS PARA TE EXAMINAR, OU E SORO, OU BENZETACIL OU MANDA FAZER EXAME DE SANGUE, EU FIQUEI INDIGNADA COM MEDICOS PLANTONISTAS DE MADRUGADA, SAUDE PUBLICA PELO AMOR DE DEUS, NOS SOMOS SERES HUMANOS E NAO BICHOS , PRECISAMOS DE MAIS ATENCAO CADA PACIENTE ENTRA COM DIAGNOSTICO DIFERENTE, LAMENTAVEL ABOMINAVEL ISSO. FICA MINHA INDIGNACAO E ALI TEM UM COORDENADOR DE SAUDE NOTURNO VIU QUE FICA A NOITE TODA.;2
UPA 21 DE JUNHO;133;2.9;SAO PAULO;SAO PAULO;FREGUESIA DO O;AV. JOAO PAULO I, 421;02738-000;Google;2025-10-18T02:19:25;2025-04-11T14:01:38;E A SEGUNDA VEZ QUE TENTO PASSAR NESSE UPA.. A PRIMEIRA VEZ FOI COM A MINHA FILHA, DEMOROU 4HS PARA SER CHAMADA.. E HOJE FOI EU.. DEMOREI 3HS PARA SER CHAMADA E MESMO ASSIM N FUI ATENDIDA, POR QUE SAI ANTES FUI PROCURAR OUTRA UNIDADE..;1
UPA 21 DE JUNHO;133;2.9;SAO PAULO;SAO PAULO;FREGUESIA DO O;AV. JOAO PAULO I, 421;02738-000;Google;2025-10-18T02:19:25;2025-04-05T19:15:23;AVALIACAO NAO PREENCHIDA;5
UPA 21 DE JUNHO;133;2.9;SAO PAULO;SAO PAULO;FREGUESIA DO O;AV. JOAO PAULO I, 421;02738-000;Google;2025-10-18T02:19:25;2025-04-04T22:05:30;PRECISEI VIR AQUI POR DUAS VEZES E SO TENHO ELOGIOS! EQUIPES ATENCIOSAS, ATENDIMENTOS BONS.  OBRIGADA!;5
UPA 21 DE JUNHO;133;2.9;SAO PAULO;SAO PAULO;FREGUESIA DO O;AV. JOAO PAULO I, 421;02738-000;Google;2025-10-18T02:19:25;2025-03-26T21:11:50;AVALIACAO NAO PREENCHIDA;4
UPA 21 DE JUNHO;133;2.9;SAO PAULO;SAO PAULO;FREGUESIA DO O;AV. JOAO PAULO I, 421;02738-000;Google;2025-10-18T02:19:25;2025-03-13T18:38:29;PESSIMO SEM MEDICO SEM INFORMACAO TALVEZ QUANDO INAUGUROU PARA ENGANAR A POPULACAO TEVE UM BOM ATENDIMENTO MAS AGORA PESSIMO PESSOAS IDOSAS CADEIRANTES ESPERANDO DE CINCO A SEIS HORAS POR UM ATENDIMENTO  NOTA 0;1
UPA 21 DE JUNHO;133;2.9;SAO PAULO;SAO PAULO;FREGUESIA DO O;AV. JOAO PAULO I, 421;02738-000;Google;2025-10-18T02:19:25;2025-03-12T11:39:32;AVALIACAO NAO PREENCHIDA;4
UPA 21 DE JUNHO;133;2.9;SAO PAULO;SAO PAULO;FREGUESIA DO O;AV. JOAO PAULO I, 421;02738-000;Google;2025-10-18T02:19:25;2025-03-09T13:39:06;AVALIACAO NAO PREENCHIDA;4
UPA 21 DE JUNHO;133;2.9;SAO PAULO;SAO PAULO;FREGUESIA DO O;AV. JOAO PAULO I, 421;02738-000;Google;2025-10-18T02:19:25;2025-03-04T23:04:13;FUI MUITO BEM ATENDIDA GRACAS A DEUS, HOSPITAL MUITO BOM, E MEDICOS ATENCIOSOS;5
