date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,ozone,sulphur_dioxide
2024-01-02 23:00:00+00:00,54.4,23.2,193.0,2.5,52.0,10.1
2024-01-03 00:00:00+00:00,50.2,22.1,187.0,1.9,53.0,9.2
2024-01-03 01:00:00+00:00,51.6,22.2,186.0,1.7,54.0,9.3
2024-01-03 02:00:00+00:00,52.0,22.2,185.0,1.5,54.0,9.4
2024-01-03 03:00:00+00:00,52.0,22.1,185.0,1.5,56.0,9.6
2024-01-03 04:00:00+00:00,49.7,21.5,187.0,2.0,58.0,9.9
2024-01-03 05:00:00+00:00,48.7,21.2,190.0,2.7,61.0,10.2
2024-01-03 06:00:00+00:00,55.4,21.8,190.0,3.0,65.0,10.1
2024-01-03 07:00:00+00:00,103.6,23.3,185.0,2.4,72.0,9.2
2024-01-03 08:00:00+00:00,137.4,23.5,177.0,1.4,81.0,7.9
2024-01-03 09:00:00+00:00,161.1,23.6,170.0,0.6,87.0,6.6
2024-01-03 10:00:00+00:00,170.4,23.4,165.0,0.1,88.0,5.3
2024-01-03 11:00:00+00:00,172.8,23.2,161.0,0.0,85.0,4.1
2024-01-03 12:00:00+00:00,204.4,25.8,162.0,0.4,80.0,2.7
2024-01-03 13:00:00+00:00,181.1,24.6,164.0,1.9,75.0,2.3
2024-01-03 14:00:00+00:00,159.3,23.6,166.0,4.0,67.0,1.8
2024-01-03 15:00:00+00:00,116.9,22.8,170.0,6.4,60.0,2.1
2024-01-03 16:00:00+00:00,90.1,21.7,177.0,9.7,52.0,3.3
2024-01-03 17:00:00+00:00,65.7,20.0,184.0,13.2,45.0,5.3
2024-01-03 18:00:00+00:00,267.3,37.0,191.0,14.6,43.0,8.2
2024-01-03 19:00:00+00:00,707.8,76.4,195.0,12.1,51.0,13.2
2024-01-03 20:00:00+00:00,976.0,107.1,198.0,7.5,64.0,19.2
2024-01-03 21:00:00+00:00,920.1,113.2,199.0,4.1,73.0,23.2
2024-01-03 22:00:00+00:00,799.1,109.0,196.0,3.5,74.0,23.4
2024-01-03 23:00:00+00:00,629.6,94.3,191.0,4.1,71.0,21.5
2024-01-04 00:00:00+00:00,399.5,74.5,189.0,6.4,60.0,21.8
2024-01-04 01:00:00+00:00,331.6,62.4,186.0,6.7,57.0,21.4
2024-01-04 02:00:00+00:00,236.1,53.4,181.0,7.0,54.0,20.9
2024-01-04 03:00:00+00:00,178.8,46.2,177.0,7.2,53.0,20.5
2024-01-04 04:00:00+00:00,138.3,40.4,173.0,7.2,56.0,20.6
2024-01-04 05:00:00+00:00,121.5,34.3,169.0,6.9,63.0,20.7
2024-01-04 06:00:00+00:00,108.5,29.7,165.0,6.3,70.0,19.8
2024-01-04 07:00:00+00:00,100.8,25.6,161.0,5.0,79.0,16.8
2024-01-04 08:00:00+00:00,108.3,23.9,158.0,3.3,90.0,12.7
2024-01-04 09:00:00+00:00,126.2,24.3,156.0,1.9,98.0,9.6
2024-01-04 10:00:00+00:00,137.8,25.0,156.0,1.1,103.0,8.5
2024-01-04 11:00:00+00:00,139.7,25.1,158.0,0.7,105.0,8.4
2024-01-04 12:00:00+00:00,112.0,25.2,175.0,1.2,105.0,9.2
2024-01-04 13:00:00+00:00,106.9,24.6,176.0,2.1,100.0,9.0
2024-01-04 14:00:00+00:00,98.0,23.7,177.0,3.3,93.0,8.7
2024-01-04 15:00:00+00:00,83.8,22.7,178.0,4.3,86.0,8.3
2024-01-04 16:00:00+00:00,71.7,21.4,178.0,5.0,79.0,7.9
2024-01-04 17:00:00+00:00,68.2,20.7,177.0,5.5,72.0,7.4
2024-01-04 18:00:00+00:00,56.5,19.5,176.0,5.8,66.0,7.0
2024-01-04 19:00:00+00:00,50.4,18.7,175.0,5.9,62.0,6.5
2024-01-04 20:00:00+00:00,49.5,18.3,174.0,5.9,59.0,6.1
2024-01-04 21:00:00+00:00,52.0,18.3,172.0,5.6,57.0,5.7
2024-01-04 22:00:00+00:00,57.5,18.7,170.0,5.0,55.0,5.4
2024-01-04 23:00:00+00:00,63.3,19.3,167.0,4.1,53.0,5.2
2024-01-05 00:00:00+00:00,62.6,18.8,166.0,4.4,52.0,5.3
2024-01-05 01:00:00+00:00,68.0,19.2,165.0,4.5,50.0,5.5
2024-01-05 02:00:00+00:00,69.4,19.5,164.0,4.5,47.0,5.7
2024-01-05 03:00:00+00:00,70.5,19.8,164.0,4.4,46.0,6.0
2024-01-05 04:00:00+00:00,75.7,20.5,166.0,4.0,48.0,6.6
2024-01-05 05:00:00+00:00,87.5,21.6,170.0,3.5,53.0,7.2
2024-01-05 06:00:00+00:00,122.5,24.7,172.0,2.9,59.0,7.5
2024-01-05 07:00:00+00:00,131.8,25.6,171.0,2.2,68.0,7.2
2024-01-05 08:00:00+00:00,133.6,25.9,169.0,1.4,78.0,6.5
2024-01-05 09:00:00+00:00,129.5,25.8,167.0,0.8,86.0,5.9
2024-01-05 10:00:00+00:00,123.4,25.5,167.0,0.5,90.0,5.6
2024-01-05 11:00:00+00:00,118.5,25.2,167.0,0.4,93.0,5.4
2024-01-05 12:00:00+00:00,125.7,27.6,173.0,0.8,87.0,5.6
2024-01-05 13:00:00+00:00,122.9,27.4,175.0,2.0,83.0,5.5
2024-01-05 14:00:00+00:00,118.0,27.3,179.0,3.7,77.0,5.3
2024-01-05 15:00:00+00:00,94.8,26.7,182.0,5.1,72.0,5.4
2024-01-05 16:00:00+00:00,82.4,26.2,184.0,6.0,67.0,5.8
2024-01-05 17:00:00+00:00,75.9,25.9,186.0,6.7,63.0,6.4
2024-01-05 18:00:00+00:00,71.0,25.8,187.0,7.2,60.0,7.0
2024-01-05 19:00:00+00:00,69.2,25.8,188.0,7.7,59.0,7.7
2024-01-05 20:00:00+00:00,68.5,26.0,189.0,8.1,60.0,8.4
2024-01-05 21:00:00+00:00,70.3,26.2,189.0,8.1,61.0,9.0
2024-01-05 22:00:00+00:00,72.4,26.4,188.0,7.4,61.0,9.2
2024-01-05 23:00:00+00:00,72.4,26.4,187.0,6.3,61.0,9.3
2024-01-06 00:00:00+00:00,71.0,25.7,183.0,6.0,58.0,7.7
2024-01-06 01:00:00+00:00,71.7,25.8,182.0,5.8,58.0,7.7
2024-01-06 02:00:00+00:00,71.2,25.8,181.0,5.6,57.0,7.8
2024-01-06 03:00:00+00:00,71.9,26.0,181.0,5.4,57.0,7.8
2024-01-06 04:00:00+00:00,70.8,26.1,184.0,5.6,57.0,7.8
2024-01-06 05:00:00+00:00,68.5,26.4,189.0,5.9,57.0,7.9
2024-01-06 06:00:00+00:00,80.6,26.3,190.0,5.6,60.0,7.7
2024-01-06 07:00:00+00:00,88.2,26.0,185.0,4.2,69.0,7.1
2024-01-06 08:00:00+00:00,88.5,25.7,177.0,2.3,80.0,6.3
2024-01-06 09:00:00+00:00,91.5,25.5,171.0,0.9,89.0,5.8
2024-01-06 10:00:00+00:00,98.7,25.6,167.0,0.3,94.0,5.8
2024-01-06 11:00:00+00:00,107.6,26.1,165.0,0.3,96.0,6.1
2024-01-06 12:00:00+00:00,105.2,24.7,176.0,0.6,93.0,6.1
2024-01-06 13:00:00+00:00,106.2,24.7,177.0,1.7,89.0,6.0
2024-01-06 14:00:00+00:00,105.2,24.9,179.0,3.3,84.0,5.9
2024-01-06 15:00:00+00:00,85.7,24.7,180.0,4.6,79.0,6.4
2024-01-06 16:00:00+00:00,78.9,24.8,179.0,5.2,76.0,8.0
2024-01-06 17:00:00+00:00,74.7,24.7,177.0,5.4,74.0,10.2
2024-01-06 18:00:00+00:00,68.0,24.2,175.0,5.6,71.0,11.7
2024-01-06 19:00:00+00:00,60.1,23.2,173.0,5.9,67.0,12.0
2024-01-06 20:00:00+00:00,58.0,22.2,171.0,6.2,62.0,11.7
2024-01-06 21:00:00+00:00,67.3,21.8,169.0,6.2,57.0,11.1
2024-01-06 22:00:00+00:00,81.0,22.2,166.0,5.7,54.0,10.0
2024-01-06 23:00:00+00:00,90.3,22.8,162.0,4.9,51.0,8.6
2024-01-07 00:00:00+00:00,75.2,21.0,162.0,5.4,48.0,9.9
2024-01-07 01:00:00+00:00,81.5,21.3,162.0,5.7,46.0,10.0
2024-01-07 02:00:00+00:00,82.7,21.4,161.0,6.2,43.0,10.3
2024-01-07 03:00:00+00:00,83.1,21.6,162.0,6.8,42.0,12.3
2024-01-07 04:00:00+00:00,81.3,21.9,165.0,7.6,44.0,17.9
2024-01-07 05:00:00+00:00,77.8,22.4,168.0,8.5,49.0,25.1
2024-01-07 06:00:00+00:00,98.3,24.6,170.0,9.0,55.0,29.8
2024-01-07 07:00:00+00:00,85.0,23.5,168.0,8.6,64.0,29.4
2024-01-07 08:00:00+00:00,90.3,21.6,163.0,7.7,75.0,26.3
2024-01-07 09:00:00+00:00,97.3,20.2,160.0,7.2,84.0,24.0
2024-01-07 10:00:00+00:00,103.8,20.1,160.0,7.1,90.0,23.6
2024-01-07 11:00:00+00:00,109.0,20.7,161.0,7.2,93.0,23.9
2024-01-07 12:00:00+00:00,105.7,20.9,176.0,8.0,94.0,24.5
2024-01-07 13:00:00+00:00,110.1,21.2,178.0,10.6,89.0,25.0
2024-01-07 14:00:00+00:00,110.8,20.9,181.0,14.2,81.0,25.6
2024-01-07 15:00:00+00:00,87.1,19.2,182.0,16.6,74.0,25.5
2024-01-07 16:00:00+00:00,81.7,17.4,180.0,16.9,67.0,24.2
2024-01-07 17:00:00+00:00,80.1,15.9,175.0,16.1,61.0,22.2
2024-01-07 18:00:00+00:00,78.0,14.6,172.0,15.0,56.0,20.1
2024-01-07 19:00:00+00:00,78.7,13.6,170.0,13.7,53.0,17.7
2024-01-07 20:00:00+00:00,88.5,13.8,169.0,12.2,51.0,15.2
2024-01-07 21:00:00+00:00,100.4,15.1,168.0,10.8,49.0,13.3
2024-01-07 22:00:00+00:00,106.6,16.5,168.0,9.7,47.0,12.4
2024-01-07 23:00:00+00:00,109.9,17.7,168.0,8.8,46.0,12.2
2024-01-08 00:00:00+00:00,102.0,17.2,169.0,10.3,40.0,14.5
2024-01-08 01:00:00+00:00,100.1,17.7,170.0,10.8,38.0,15.1
2024-01-08 02:00:00+00:00,95.7,18.0,172.0,11.5,35.0,16.2
2024-01-08 03:00:00+00:00,90.6,18.2,174.0,11.8,35.0,18.4
2024-01-08 04:00:00+00:00,84.3,18.2,178.0,11.4,39.0,22.7
2024-01-08 05:00:00+00:00,78.2,18.2,182.0,10.8,45.0,28.1
2024-01-08 06:00:00+00:00,104.1,19.0,184.0,10.2,53.0,32.2
2024-01-08 07:00:00+00:00,77.3,16.4,180.0,10.0,62.0,34.3
2024-01-08 08:00:00+00:00,69.8,14.9,173.0,9.9,72.0,35.2
2024-01-08 09:00:00+00:00,69.2,14.1,167.0,9.9,80.0,34.7
2024-01-08 10:00:00+00:00,68.2,13.2,165.0,9.7,86.0,32.3
2024-01-08 11:00:00+00:00,67.8,12.4,164.0,9.6,90.0,28.6
2024-01-08 12:00:00+00:00,65.2,13.6,165.0,10.5,90.0,26.4
2024-01-08 13:00:00+00:00,60.8,13.0,168.0,12.4,85.0,24.7
2024-01-08 14:00:00+00:00,52.0,12.2,173.0,14.9,78.0,22.2
2024-01-08 15:00:00+00:00,38.5,11.2,177.0,16.3,73.0,19.4
2024-01-08 16:00:00+00:00,34.8,10.5,179.0,15.4,70.0,16.3
2024-01-08 17:00:00+00:00,33.6,10.2,180.0,13.4,68.0,12.9
2024-01-08 18:00:00+00:00,34.8,10.2,180.0,11.6,68.0,10.2
2024-01-08 19:00:00+00:00,37.5,10.4,180.0,10.6,69.0,8.8
2024-01-08 20:00:00+00:00,41.9,10.7,181.0,9.8,71.0,8.1
2024-01-08 21:00:00+00:00,46.7,11.0,180.0,9.0,73.0,7.6
2024-01-08 22:00:00+00:00,49.2,11.1,178.0,7.9,73.0,7.3
2024-01-08 23:00:00+00:00,49.1,11.0,176.0,6.7,72.0,7.3
2024-01-09 00:00:00+00:00,53.7,11.4,175.0,5.9,71.0,7.2
2024-01-09 01:00:00+00:00,55.2,11.5,174.0,5.5,72.0,7.0
2024-01-09 02:00:00+00:00,57.7,11.9,173.0,4.9,72.0,6.7
2024-01-09 03:00:00+00:00,60.8,12.5,174.0,4.7,74.0,6.8
2024-01-09 04:00:00+00:00,62.9,13.4,180.0,5.3,75.0,7.4
2024-01-09 05:00:00+00:00,65.7,14.8,188.0,6.3,77.0,8.3
2024-01-09 06:00:00+00:00,82.4,17.6,192.0,6.4,83.0,9.4
2024-01-09 07:00:00+00:00,105.5,23.5,190.0,4.8,96.0,11.1
2024-01-09 08:00:00+00:00,106.4,24.1,185.0,2.5,114.0,13.1
2024-01-09 09:00:00+00:00,105.0,23.3,180.0,0.7,126.0,14.3
2024-01-09 10:00:00+00:00,95.5,21.8,177.0,0.1,131.0,13.9
2024-01-09 11:00:00+00:00,82.9,20.3,174.0,0.1,131.0,12.7
2024-01-09 12:00:00+00:00,72.4,18.0,178.0,0.7,127.0,11.5
2024-01-09 13:00:00+00:00,65.0,17.3,180.0,2.2,118.0,10.9
2024-01-09 14:00:00+00:00,61.0,17.1,184.0,4.3,106.0,10.1
2024-01-09 15:00:00+00:00,49.1,16.9,186.0,5.9,95.0,9.3
2024-01-09 16:00:00+00:00,46.7,16.9,186.0,6.4,86.0,8.5
2024-01-09 17:00:00+00:00,45.1,16.8,185.0,6.4,78.0,7.6
2024-01-09 18:00:00+00:00,42.7,16.6,184.0,6.3,71.0,6.9
2024-01-09 19:00:00+00:00,40.3,16.4,183.0,6.2,66.0,6.5
2024-01-09 20:00:00+00:00,37.4,16.1,181.0,5.9,63.0,6.3
2024-01-09 21:00:00+00:00,34.7,15.7,179.0,5.5,61.0,6.1
2024-01-09 22:00:00+00:00,33.1,15.4,177.0,4.8,59.0,5.9
2024-01-09 23:00:00+00:00,32.2,15.2,174.0,4.0,58.0,5.7
2024-01-10 00:00:00+00:00,31.7,15.0,170.0,3.8,56.0,5.6
2024-01-10 01:00:00+00:00,31.8,14.9,168.0,3.4,56.0,5.6
2024-01-10 02:00:00+00:00,31.7,14.8,166.0,2.9,56.0,5.5
2024-01-10 03:00:00+00:00,31.7,14.8,165.0,2.6,58.0,5.6
2024-01-10 04:00:00+00:00,33.6,15.0,168.0,2.8,61.0,6.0
2024-01-10 05:00:00+00:00,36.8,15.4,172.0,3.1,66.0,6.5
2024-01-10 06:00:00+00:00,45.2,16.5,174.0,3.1,72.0,6.9
2024-01-10 07:00:00+00:00,109.4,19.7,171.0,2.4,80.0,7.1
2024-01-10 08:00:00+00:00,164.4,21.2,165.0,1.3,90.0,7.1
2024-01-10 09:00:00+00:00,194.6,21.7,160.0,0.5,97.0,7.0
2024-01-10 10:00:00+00:00,197.0,20.7,155.0,0.1,100.0,6.6
2024-01-10 11:00:00+00:00,181.1,19.1,150.0,0.0,101.0,6.0
2024-01-10 12:00:00+00:00,115.7,20.4,150.0,0.5,99.0,5.8
2024-01-10 13:00:00+00:00,97.3,19.3,153.0,2.2,93.0,5.7
2024-01-10 14:00:00+00:00,76.4,18.3,156.0,4.5,84.0,5.6
2024-01-10 15:00:00+00:00,57.7,17.4,159.0,6.3,76.0,5.5
2024-01-10 16:00:00+00:00,51.0,16.6,160.0,7.0,71.0,5.4
2024-01-10 17:00:00+00:00,48.2,15.7,160.0,7.1,66.0,5.3
2024-01-10 18:00:00+00:00,46.6,14.9,160.0,7.0,63.0,5.1
2024-01-10 19:00:00+00:00,49.5,14.2,159.0,6.6,61.0,4.9
2024-01-10 20:00:00+00:00,51.7,13.6,157.0,5.9,60.0,4.7
2024-01-10 21:00:00+00:00,47.7,12.8,155.0,5.2,59.0,4.4
2024-01-10 22:00:00+00:00,42.8,12.0,152.0,4.4,57.0,4.1
2024-01-10 23:00:00+00:00,40.6,11.3,149.0,3.5,55.0,3.8
2024-01-11 00:00:00+00:00,39.9,11.2,149.0,3.8,52.0,3.8
2024-01-11 01:00:00+00:00,41.8,10.9,148.0,3.5,52.0,3.6
2024-01-11 02:00:00+00:00,41.3,10.7,146.0,3.0,52.0,3.4
2024-01-11 03:00:00+00:00,39.5,10.3,146.0,2.8,53.0,3.3
2024-01-11 04:00:00+00:00,39.0,10.0,150.0,3.2,55.0,3.3
2024-01-11 05:00:00+00:00,39.0,9.9,156.0,3.9,59.0,3.4
2024-01-11 06:00:00+00:00,35.3,9.5,160.0,4.0,64.0,3.6
2024-01-11 07:00:00+00:00,67.8,12.0,160.0,3.0,74.0,4.0
2024-01-11 08:00:00+00:00,206.3,19.7,158.0,1.5,86.0,4.5
2024-01-11 09:00:00+00:00,302.7,24.8,156.0,0.4,94.0,4.8
2024-01-11 10:00:00+00:00,330.6,26.7,153.0,0.0,97.0,4.6
2024-01-11 11:00:00+00:00,328.8,27.1,150.0,0.0,96.0,4.1
2024-01-11 12:00:00+00:00,292.4,25.4,152.0,0.4,93.0,3.7
2024-01-11 13:00:00+00:00,267.3,24.6,154.0,1.5,88.0,3.6
2024-01-11 14:00:00+00:00,257.0,26.1,157.0,3.0,81.0,3.4
2024-01-11 15:00:00+00:00,151.3,22.5,160.0,4.2,75.0,3.2
2024-01-11 16:00:00+00:00,101.3,19.1,161.0,4.8,70.0,3.0
2024-01-11 17:00:00+00:00,80.1,16.7,162.0,5.2,65.0,2.9
2024-01-11 18:00:00+00:00,68.0,15.0,162.0,5.3,61.0,2.7
2024-01-11 19:00:00+00:00,61.7,13.8,161.0,5.1,58.0,2.5
2024-01-11 20:00:00+00:00,58.0,13.0,160.0,4.7,57.0,2.4
2024-01-11 21:00:00+00:00,54.6,12.3,158.0,4.2,55.0,2.2
2024-01-11 22:00:00+00:00,49.8,11.6,155.0,3.6,53.0,2.0
2024-01-11 23:00:00+00:00,46.4,11.0,152.0,2.8,51.0,1.9
2024-01-12 00:00:00+00:00,37.7,10.1,150.0,2.5,49.0,1.9
2024-01-12 01:00:00+00:00,36.7,9.6,148.0,2.3,49.0,1.9
2024-01-12 02:00:00+00:00,35.9,9.3,147.0,2.1,49.0,1.8
2024-01-12 03:00:00+00:00,36.7,9.2,146.0,2.1,50.0,1.8
2024-01-12 04:00:00+00:00,52.4,10.0,149.0,2.6,51.0,1.9
2024-01-12 05:00:00+00:00,58.4,10.6,153.0,3.4,54.0,2.0
2024-01-12 06:00:00+00:00,53.9,10.4,155.0,3.6,58.0,2.1
2024-01-12 07:00:00+00:00,79.4,11.6,151.0,2.8,67.0,2.0
2024-01-12 08:00:00+00:00,162.5,15.5,145.0,1.5,78.0,1.7
2024-01-12 09:00:00+00:00,236.6,19.5,140.0,0.5,86.0,1.7
2024-01-12 10:00:00+00:00,268.2,22.4,137.0,0.0,89.0,2.0
2024-01-12 11:00:00+00:00,271.9,24.7,136.0,0.0,88.0,2.5
2024-01-12 12:00:00+00:00,284.1,27.1,140.0,0.4,85.0,2.7
2024-01-12 13:00:00+00:00,257.0,27.0,143.0,1.9,79.0,2.9
2024-01-12 14:00:00+00:00,190.5,25.8,147.0,4.1,72.0,3.2
2024-01-12 15:00:00+00:00,128.1,23.4,150.0,5.7,65.0,3.4
2024-01-12 16:00:00+00:00,99.9,21.2,151.0,6.3,61.0,3.3
2024-01-12 17:00:00+00:00,83.8,19.3,151.0,6.4,58.0,3.1
2024-01-12 18:00:00+00:00,78.0,17.9,151.0,6.4,55.0,2.9
2024-01-12 19:00:00+00:00,74.5,16.9,150.0,6.2,53.0,2.5
2024-01-12 20:00:00+00:00,67.5,15.9,149.0,5.9,52.0,2.0
2024-01-12 21:00:00+00:00,59.4,14.8,148.0,5.8,50.0,2.0
2024-01-12 22:00:00+00:00,58.8,15.8,148.0,6.3,46.0,2.9
2024-01-12 23:00:00+00:00,70.5,19.0,150.0,7.1,42.0,4.2
2024-01-13 00:00:00+00:00,63.8,17.3,145.0,5.8,43.0,3.5
2024-01-13 01:00:00+00:00,75.2,20.0,146.0,6.3,41.0,4.3
2024-01-13 02:00:00+00:00,85.0,22.5,147.0,7.0,38.0,5.4
2024-01-13 03:00:00+00:00,91.0,24.4,149.0,7.5,37.0,6.1
2024-01-13 04:00:00+00:00,89.9,25.2,155.0,7.7,37.0,6.1
2024-01-13 05:00:00+00:00,78.7,24.1,162.0,7.8,37.0,5.6
2024-01-13 06:00:00+00:00,65.9,20.1,164.0,7.1,42.0,4.9
2024-01-13 07:00:00+00:00,49.9,13.1,156.0,5.1,54.0,3.6
2024-01-13 08:00:00+00:00,131.8,14.1,144.0,2.5,69.0,2.0
2024-01-13 09:00:00+00:00,252.4,20.2,134.0,0.6,81.0,0.9
2024-01-13 10:00:00+00:00,314.8,24.9,131.0,0.0,85.0,0.9
2024-01-13 11:00:00+00:00,320.4,27.0,132.0,0.1,86.0,1.4
2024-01-13 12:00:00+00:00,278.5,26.4,149.0,0.5,86.0,2.0
2024-01-13 13:00:00+00:00,265.4,26.3,151.0,1.5,81.0,2.0
2024-01-13 14:00:00+00:00,297.1,29.6,155.0,2.8,74.0,2.0
2024-01-13 15:00:00+00:00,219.3,27.8,157.0,3.8,68.0,2.0
2024-01-13 16:00:00+00:00,161.6,24.4,158.0,4.2,63.0,1.9
2024-01-13 17:00:00+00:00,119.0,21.2,158.0,4.3,58.0,1.7
2024-01-13 18:00:00+00:00,92.7,18.7,158.0,4.3,54.0,1.5
2024-01-13 19:00:00+00:00,77.1,17.1,158.0,4.3,52.0,1.4
2024-01-13 20:00:00+00:00,63.8,15.8,158.0,4.3,50.0,1.4
2024-01-13 21:00:00+00:00,53.4,14.7,157.0,4.1,49.0,1.3
2024-01-13 22:00:00+00:00,45.6,13.8,155.0,3.6,48.0,1.2
2024-01-13 23:00:00+00:00,41.6,13.2,153.0,2.9,48.0,1.2
2024-01-14 00:00:00+00:00,38.3,12.5,151.0,2.1,49.0,1.0
2024-01-14 01:00:00+00:00,40.0,12.5,150.0,1.9,49.0,1.0
2024-01-14 02:00:00+00:00,40.7,12.3,148.0,1.6,49.0,0.9
2024-01-14 03:00:00+00:00,40.7,12.2,148.0,1.6,49.0,0.9
2024-01-14 04:00:00+00:00,41.1,12.0,151.0,2.1,49.0,1.0
2024-01-14 05:00:00+00:00,43.7,12.1,155.0,2.8,49.0,1.1
2024-01-14 06:00:00+00:00,51.3,12.5,158.0,3.1,52.0,1.2
2024-01-14 07:00:00+00:00,103.8,14.8,157.0,2.4,60.0,1.1
2024-01-14 08:00:00+00:00,192.8,18.7,154.0,1.3,71.0,0.9
2024-01-14 09:00:00+00:00,280.3,23.1,151.0,0.5,79.0,0.7
2024-01-14 10:00:00+00:00,331.6,25.9,148.0,0.2,82.0,0.7
2024-01-14 11:00:00+00:00,344.6,26.8,146.0,0.1,83.0,0.7
2024-01-14 12:00:00+00:00,323.2,25.3,145.0,0.5,80.0,0.6
2024-01-14 13:00:00+00:00,281.3,23.4,146.0,1.5,75.0,0.7
2024-01-14 14:00:00+00:00,263.6,24.3,148.0,2.9,68.0,0.8
2024-01-14 15:00:00+00:00,147.1,20.0,150.0,4.1,62.0,0.9
2024-01-14 16:00:00+00:00,104.8,17.1,151.0,4.9,57.0,1.0
2024-01-14 17:00:00+00:00,89.2,15.5,152.0,5.5,52.0,1.0
2024-01-14 18:00:00+00:00,76.8,14.3,153.0,5.9,48.0,1.0
2024-01-14 19:00:00+00:00,66.4,13.3,153.0,6.2,45.0,1.0
2024-01-14 20:00:00+00:00,57.7,12.3,153.0,6.4,43.0,1.0
2024-01-14 21:00:00+00:00,49.4,11.4,152.0,6.2,42.0,1.0
2024-01-14 22:00:00+00:00,43.0,10.5,150.0,5.5,41.0,1.0
2024-01-14 23:00:00+00:00,37.3,9.8,147.0,4.6,41.0,0.9
2024-01-15 00:00:00+00:00,32.4,9.2,140.0,3.8,42.0,0.8
2024-01-15 01:00:00+00:00,26.9,8.5,139.0,3.5,42.0,0.8
2024-01-15 02:00:00+00:00,23.4,7.9,137.0,3.1,42.0,0.8
2024-01-15 03:00:00+00:00,21.4,7.5,137.0,2.9,42.0,0.8
2024-01-15 04:00:00+00:00,20.3,7.2,141.0,3.3,42.0,1.0
2024-01-15 05:00:00+00:00,20.2,7.1,147.0,3.8,42.0,1.2
