id_camera,data_hora,qtd_pessoas,fk_upa
231,"2025-04-27 16:14:36",77,1
232,"2025-04-27 16:19:36",72,1
233,"2025-04-27 16:24:36",75,1
234,"2025-04-27 16:29:36",75,1
235,"2025-04-27 16:34:36",75,1
236,"2025-04-27 16:39:36",75,1
237,"2025-04-27 16:44:36",78,1
238,"2025-04-27 16:49:36",80,1
239,"2025-04-27 16:54:36",83,1
240,"2025-04-27 16:59:36",81,1
241,"2025-04-27 17:04:36",82,1
242,"2025-04-27 17:09:36",81,1
243,"2025-04-27 17:14:36",NULL,1
244,"2025-04-27 17:19:36",76,1
245,"2025-04-27 17:24:36",79,1
246,"2025-04-27 17:29:36",80,1
247,"2025-04-27 17:34:36",77,1
248,"2025-04-27 17:39:36",78,1
249,"2025-04-27 17:44:36",75,1
250,"2025-04-27 17:49:36",72,1
251,"2025-04-27 17:54:36",71,1
252,"2025-04-27 17:59:36",66,1
253,"2025-04-27 18:04:36",69,1
254,"2025-04-27 18:09:36",66,1
255,"2025-04-27 18:14:36",67,1
256,"2025-04-27 18:19:36",68,1
257,"2025-04-27 18:24:36",68,1
258,"2025-04-27 18:29:36",65,1
259,"2025-04-27 18:34:36",NULL,1
260,"2025-04-27 18:39:36",63,1
261,"2025-04-27 18:44:36",67,1
262,"2025-04-27 18:49:36",NULL,1
263,"2025-04-27 18:54:36",69,1
264,"2025-04-27 18:59:36",72,1
265,"2025-04-27 19:04:36",73,1
266,"2025-04-27 19:09:36",75,1
267,"2025-04-27 19:14:36",76,1
268,"2025-04-27 19:19:36",75,1
269,"2025-04-27 19:24:36",75,1
270,"2025-04-27 19:29:36",75,1
271,"2025-04-27 19:34:36",79,1
272,"2025-04-27 19:39:36",76,1
273,"2025-04-27 19:44:36",75,1
274,"2025-04-27 19:49:36",72,1
275,"2025-04-27 19:54:36",70,1
276,"2025-04-27 19:59:36",70,1
277,"2025-04-27 20:04:36",70,1
278,"2025-04-27 20:09:36",67,1
279,"2025-04-27 20:14:36",67,1
280,"2025-04-27 20:19:36",66,1
281,"2025-04-27 20:24:36",64,1
282,"2025-04-27 20:29:36",66,1
283,"2025-04-27 20:34:36",69,1
284,"2025-04-27 20:39:36",72,1
285,"2025-04-27 20:44:36",72,1
286,"2025-04-27 20:49:36",70,1
287,"2025-04-27 20:54:36",70,1
288,"2025-04-27 20:59:36",72,1
289,"2025-04-26 21:04:36",72,2
290,"2025-04-26 21:09:36",70,2
291,"2025-04-26 21:14:36",70,2
292,"2025-04-26 21:19:36",71,2
293,"2025-04-26 21:24:36",NULL,2
294,"2025-04-26 21:29:36",66,2
295,"2025-04-26 21:34:36",66,2
296,"2025-04-26 21:39:36",67,2
297,"2025-04-26 21:44:36",69,2
298,"2025-04-26 21:49:36",70,2
299,"2025-04-26 21:54:36",75,2
300,"2025-04-26 21:59:36",74,2
301,"2025-04-26 22:04:36",75,2
302,"2025-04-26 22:09:36",73,2
303,"2025-04-26 22:14:36",70,2
304,"2025-04-26 22:19:36",67,2
305,"2025-04-26 22:24:36",66,2
306,"2025-04-26 22:29:36",68,2
307,"2025-04-26 22:34:36",69,2
308,"2025-04-26 22:39:36",66,2
309,"2025-04-26 22:44:36",67,2
310,"2025-04-26 22:49:36",66,2
311,"2025-04-26 22:54:36",67,2
312,"2025-04-26 22:59:36",72,2
313,"2025-04-26 23:04:36",73,2
314,"2025-04-26 23:09:36",72,2
315,"2025-04-26 23:14:36",72,2
316,"2025-04-26 23:19:36",75,2
317,"2025-04-26 23:24:36",72,2
318,"2025-04-26 23:29:36",NULL,2
319,"2025-04-26 23:34:36",78,2
320,"2025-04-26 23:39:36",75,2
321,"2025-04-26 23:44:36",73,2
322,"2025-04-26 23:49:36",74,2
323,"2025-04-26 23:54:36",77,2
324,"2025-04-26 23:59:36",77,2
325,"2025-04-27 00:04:36",74,2
326,"2025-04-27 00:09:36",74,2
327,"2025-04-27 00:14:36",72,2
328,"2025-04-27 00:19:36",72,2
329,"2025-04-27 00:24:36",67,2
330,"2025-04-27 00:29:36",72,2
331,"2025-04-27 00:34:36",70,2
332,"2025-04-27 00:39:36",69,2
333,"2025-04-27 00:44:36",69,2
334,"2025-04-27 00:49:36",70,2
335,"2025-04-27 00:54:36",72,2
336,"2025-04-27 00:59:36",74,2
337,"2025-04-27 01:04:36",70,2
338,"2025-04-27 01:09:36",68,2
339,"2025-04-27 01:14:36",68,2
340,"2025-04-27 01:19:36",72,2
341,"2025-04-27 01:24:36",72,2
342,"2025-04-27 01:29:36",74,2
343,"2025-04-27 01:34:36",75,2
344,"2025-04-27 01:39:36",73,2
345,"2025-04-27 01:44:36",70,2
346,"2025-04-27 01:49:36",73,2
347,"2025-04-27 01:54:36",68,2
348,"2025-04-27 01:59:36",67,2
349,"2025-04-27 02:04:36",66,2
350,"2025-04-27 02:09:36",65,2
351,"2025-04-27 02:14:36",63,2
352,"2025-04-27 02:19:36",64,2
353,"2025-04-27 02:24:36",64,2
354,"2025-04-27 02:29:36",68,2
355,"2025-04-27 02:34:36",67,2
356,"2025-04-27 02:39:36",65,2
357,"2025-04-27 02:44:36",68,2
358,"2025-04-27 02:49:36",67,2
359,"2025-04-27 02:54:36",65,2
360,"2025-04-27 02:59:36",66,2
361,"2025-04-27 03:04:36",68,2
362,"2025-04-27 03:09:36",71,2
363,"2025-04-27 03:14:36",71,2
364,"2025-04-27 03:19:36",70,2
365,"2025-04-27 03:24:36",70,2
366,"2025-04-27 03:29:36",68,2
367,"2025-04-27 03:34:36",68,2
368,"2025-04-27 03:39:36",66,2
369,"2025-04-27 03:44:36",NULL,2
370,"2025-04-27 03:49:36",72,2
371,"2025-04-27 03:54:36",69,2
372,"2025-04-27 03:59:36",73,2
373,"2025-04-27 04:04:36",70,2
374,"2025-04-27 04:09:36",71,2
375,"2025-04-27 04:14:36",70,2
376,"2025-04-27 04:19:36",68,2
377,"2025-04-27 04:24:36",72,2
378,"2025-04-27 04:29:36",74,2
379,"2025-04-27 04:34:36",71,2
380,"2025-04-27 04:39:36",70,2
381,"2025-04-27 04:44:36",68,2
382,"2025-04-27 04:49:36",69,2
383,"2025-04-27 04:54:36",67,2
384,"2025-04-27 04:59:36",68,2
385,"2025-04-27 05:04:36",67,2
386,"2025-04-27 05:09:36",64,2
387,"2025-04-27 05:14:36",62,2
388,"2025-04-27 05:19:36",65,2
389,"2025-04-27 05:24:36",NULL,2
390,"2025-04-27 05:29:36",71,2
391,"2025-04-27 05:34:36",70,2
392,"2025-04-27 05:39:36",68,2
393,"2025-04-27 05:44:36",67,2
394,"2025-04-27 05:49:36",65,2
395,"2025-04-27 05:54:36",64,2
396,"2025-04-27 05:59:36",61,2
397,"2025-04-27 06:04:36",60,2
398,"2025-04-27 06:09:36",60,2
399,"2025-04-27 06:14:36",63,2
400,"2025-04-27 06:19:36",62,2
401,"2025-04-27 06:24:36",65,2
402,"2025-04-27 06:29:36",66,2
403,"2025-04-27 06:34:36",63,2
404,"2025-04-27 06:39:36",66,2
405,"2025-04-27 06:44:36",66,2
406,"2025-04-27 06:49:36",70,2
407,"2025-04-27 06:54:36",70,2
408,"2025-04-27 06:59:36",73,2
409,"2025-04-27 07:04:36",72,2
410,"2025-04-27 07:09:36",73,2
411,"2025-04-27 07:14:36",73,2
412,"2025-04-27 07:19:36",75,2
413,"2025-04-27 07:24:36",75,2
414,"2025-04-27 07:29:36",74,2
415,"2025-04-27 07:34:36",72,2
416,"2025-04-27 07:39:36",73,2
417,"2025-04-27 07:44:36",70,2
418,"2025-04-27 07:49:36",71,2
419,"2025-04-27 07:54:36",73,2
420,"2025-04-27 07:59:36",73,2
421,"2025-04-27 08:04:36",68,2
422,"2025-04-27 08:09:36",67,2
423,"2025-04-27 08:14:36",65,2
424,"2025-04-27 08:19:36",69,2
425,"2025-04-27 08:24:36",69,2
426,"2025-04-27 08:29:36",67,2
427,"2025-04-27 08:34:36",68,2
428,"2025-04-27 08:39:36",65,2
429,"2025-04-27 08:44:36",64,2
430,"2025-04-27 08:49:36",63,2
431,"2025-04-27 08:54:36",63,2
432,"2025-04-27 08:59:36",NULL,2
433,"2025-04-27 09:04:36",65,2
434,"2025-04-27 09:09:36",65,2
435,"2025-04-27 09:14:36",66,2
436,"2025-04-27 09:19:36",67,2
437,"2025-04-27 09:24:36",67,2
438,"2025-04-27 09:29:36",70,2
439,"2025-04-27 09:34:36",71,2
440,"2025-04-27 09:39:36",68,2
441,"2025-04-27 09:44:36",70,2
442,"2025-04-27 09:49:36",69,2
443,"2025-04-27 09:54:36",65,2
444,"2025-04-27 09:59:36",64,2
445,"2025-04-27 10:04:36",63,2
446,"2025-04-27 10:09:36",61,2
447,"2025-04-27 10:14:36",64,2
448,"2025-04-27 10:19:36",NULL,2
449,"2025-04-27 10:24:36",66,2
450,"2025-04-27 10:29:36",65,2
451,"2025-04-27 10:34:36",68,2
452,"2025-04-27 10:39:36",66,2
453,"2025-04-27 10:44:36",67,2
454,"2025-04-27 10:49:36",70,2
455,"2025-04-27 10:54:36",66,2
456,"2025-04-27 10:59:36",68,2
457,"2025-04-27 11:04:36",72,2
458,"2025-04-27 11:09:36",69,2
459,"2025-04-27 11:14:36",69,2
460,"2025-04-27 11:19:36",70,2
461,"2025-04-27 11:24:36",NULL,2
462,"2025-04-27 11:29:36",72,2
463,"2025-04-27 11:34:36",69,2
464,"2025-04-27 11:39:36",66,2
465,"2025-04-27 11:44:36",67,2
466,"2025-04-27 11:49:36",68,2
467,"2025-04-27 11:54:36",68,2
468,"2025-04-27 11:59:36",64,2
469,"2025-04-27 12:04:36",63,2
470,"2025-04-27 12:09:36",64,2
471,"2025-04-27 12:14:36",62,2
472,"2025-04-27 12:19:36",64,2
473,"2025-04-27 12:24:36",65,2
474,"2025-04-27 12:29:36",63,2
475,"2025-04-27 12:34:36",66,2
476,"2025-04-27 12:39:36",70,2
477,"2025-04-27 12:44:36",70,2
478,"2025-04-27 12:49:36",70,2
479,"2025-04-27 12:54:36",69,2
480,"2025-04-27 12:59:36",68,2
481,"2025-04-27 13:04:36",64,2
482,"2025-04-27 13:09:36",66,2
483,"2025-04-27 13:14:36",67,2
484,"2025-04-27 13:19:36",66,2
485,"2025-04-27 13:24:36",61,2
486,"2025-04-27 13:29:36",61,2
487,"2025-04-27 13:34:36",64,2
488,"2025-04-27 13:39:36",62,2
489,"2025-04-27 13:44:36",64,2
490,"2025-04-27 13:49:36",61,2
491,"2025-04-27 13:54:36",63,2
492,"2025-04-27 13:59:36",62,2
493,"2025-04-27 14:04:36",64,2
494,"2025-04-27 14:09:36",61,2
495,"2025-04-27 14:14:36",57,2
496,"2025-04-27 14:19:36",57,2
497,"2025-04-27 14:24:36",56,2
498,"2025-04-27 14:29:36",56,2
499,"2025-04-27 14:34:36",59,2
500,"2025-04-27 14:39:36",58,2
501,"2025-04-27 14:44:36",59,2
502,"2025-04-27 14:49:36",NULL,2
503,"2025-04-27 14:54:36",62,2
504,"2025-04-27 14:59:36",62,2
505,"2025-04-27 15:04:36",NULL,2
506,"2025-04-27 15:09:36",61,2
507,"2025-04-27 15:14:36",62,2
508,"2025-04-27 15:19:36",61,2
509,"2025-04-27 15:24:36",61,2
510,"2025-04-27 15:29:36",60,2
511,"2025-04-27 15:34:36",59,2
512,"2025-04-27 15:39:36",62,2
513,"2025-04-27 15:44:36",66,2
514,"2025-04-27 15:49:36",63,2
515,"2025-04-27 15:54:36",60,2
516,"2025-04-27 15:59:36",58,2
517,"2025-04-27 16:04:36",57,2
518,"2025-04-27 16:09:36",54,2
519,"2025-04-27 16:14:36",57,2
520,"2025-04-27 16:19:36",59,2
521,"2025-04-27 16:24:36",60,2
522,"2025-04-27 16:29:36",64,2
523,"2025-04-27 16:34:36",61,2
524,"2025-04-27 16:39:36",59,2
525,"2025-04-27 16:44:36",55,2
526,"2025-04-27 16:49:36",55,2
527,"2025-04-27 16:54:36",55,2
528,"2025-04-27 16:59:36",53,2
529,"2025-04-27 17:04:36",51,2
530,"2025-04-27 17:09:36",50,2
531,"2025-04-27 17:14:36",50,2
532,"2025-04-27 17:19:36",51,2
533,"2025-04-27 17:24:36",50,2
534,"2025-04-27 17:29:36",48,2
535,"2025-04-27 17:34:36",45,2
536,"2025-04-27 17:39:36",46,2
537,"2025-04-27 17:44:36",44,2
538,"2025-04-27 17:49:36",43,2
539,"2025-04-27 17:54:36",40,2
540,"2025-04-27 17:59:36",39,2
541,"2025-04-27 18:04:36",43,2
542,"2025-04-27 18:09:36",NULL,2
543,"2025-04-27 18:14:36",38,2
544,"2025-04-27 18:19:36",40,2
545,"2025-04-27 18:24:36",39,2
546,"2025-04-27 18:29:36",38,2
547,"2025-04-27 18:34:36",40,2
548,"2025-04-27 18:39:36",NULL,2
549,"2025-04-27 18:44:36",38,2
550,"2025-04-27 18:49:36",41,2
551,"2025-04-27 18:54:36",41,2
552,"2025-04-27 18:59:36",44,2
553,"2025-04-27 19:04:36",39,2
554,"2025-04-27 19:09:36",NULL,2
555,"2025-04-27 19:14:36",41,2
556,"2025-04-27 19:19:36",43,2
557,"2025-04-27 19:24:36",46,2
558,"2025-04-27 19:29:36",47,2
559,"2025-04-27 19:34:36",49,2
560,"2025-04-27 19:39:36",48,2
561,"2025-04-27 19:44:36",49,2
562,"2025-04-27 19:49:36",49,2
563,"2025-04-27 19:54:36",48,2
564,"2025-04-27 19:59:36",47,2
565,"2025-04-27 20:04:36",49,2
566,"2025-04-27 20:09:36",49,2
567,"2025-04-27 20:14:36",51,2
568,"2025-04-27 20:19:36",48,2
569,"2025-04-27 20:24:36",48,2
570,"2025-04-27 20:29:36",49,2
571,"2025-04-27 20:34:36",48,2
572,"2025-04-27 20:39:36",47,2
573,"2025-04-27 20:44:36",45,2
574,"2025-04-27 20:49:36",NULL,2
575,"2025-04-27 20:54:36",50,2
576,"2025-04-27 20:59:36",47,2
577,"2025-04-26 21:04:36",45,3
578,"2025-04-26 21:09:36",47,3
579,"2025-04-26 21:14:36",48,3
580,"2025-04-26 21:19:36",50,3
581,"2025-04-26 21:24:36",46,3
582,"2025-04-26 21:29:36",49,3
583,"2025-04-26 21:34:36",49,3
584,"2025-04-26 21:39:36",49,3
585,"2025-04-26 21:44:36",49,3
586,"2025-04-26 21:49:36",NULL,3
587,"2025-04-26 21:54:36",50,3
588,"2025-04-26 21:59:36",52,3
589,"2025-04-26 22:04:36",53,3
590,"2025-04-26 22:09:36",53,3
591,"2025-04-26 22:14:36",52,3
592,"2025-04-26 22:19:36",55,3
593,"2025-04-26 22:24:36",52,3
594,"2025-04-26 22:29:36",54,3
595,"2025-04-26 22:34:36",NULL,3
596,"2025-04-26 22:39:36",49,3
597,"2025-04-26 22:44:36",46,3
598,"2025-04-26 22:49:36",46,3
599,"2025-04-26 22:54:36",49,3
600,"2025-04-26 22:59:36",45,3
601,"2025-04-26 23:04:36",43,3
602,"2025-04-26 23:09:36",45,3
603,"2025-04-26 23:14:36",44,3
604,"2025-04-26 23:19:36",47,3
605,"2025-04-26 23:24:36",48,3
606,"2025-04-26 23:29:36",50,3
607,"2025-04-26 23:34:36",50,3
608,"2025-04-26 23:39:36",51,3
609,"2025-04-26 23:44:36",52,3
610,"2025-04-26 23:49:36",51,3
611,"2025-04-26 23:54:36",50,3
612,"2025-04-26 23:59:36",48,3
613,"2025-04-27 00:04:36",49,3
614,"2025-04-27 00:09:36",51,3
615,"2025-04-27 00:14:36",49,3
616,"2025-04-27 00:19:36",NULL,3
617,"2025-04-27 00:24:36",46,3
618,"2025-04-27 00:29:36",45,3
619,"2025-04-27 00:34:36",46,3
620,"2025-04-27 00:39:36",46,3
621,"2025-04-27 00:44:36",44,3
622,"2025-04-27 00:49:36",45,3
623,"2025-04-27 00:54:36",44,3
624,"2025-04-27 00:59:36",41,3
625,"2025-04-27 01:04:36",42,3
626,"2025-04-27 01:09:36",44,3
627,"2025-04-27 01:14:36",43,3
628,"2025-04-27 01:19:36",47,3
629,"2025-04-27 01:24:36",48,3
630,"2025-04-27 01:29:36",49,3
631,"2025-04-27 01:34:36",50,3
632,"2025-04-27 01:39:36",NULL,3
633,"2025-04-27 01:44:36",48,3
634,"2025-04-27 01:49:36",45,3
635,"2025-04-27 01:54:36",46,3
636,"2025-04-27 01:59:36",43,3
637,"2025-04-27 02:04:36",43,3
638,"2025-04-27 02:09:36",44,3
639,"2025-04-27 02:14:36",42,3
640,"2025-04-27 02:19:36",44,3
641,"2025-04-27 02:24:36",45,3
642,"2025-04-27 02:29:36",45,3
643,"2025-04-27 02:34:36",41,3
644,"2025-04-27 02:39:36",43,3
645,"2025-04-27 02:44:36",NULL,3
646,"2025-04-27 02:49:36",41,3
647,"2025-04-27 02:54:36",38,3
648,"2025-04-27 02:59:36",NULL,3
649,"2025-04-27 03:04:36",36,3
650,"2025-04-27 03:09:36",37,3
651,"2025-04-27 03:14:36",36,3
652,"2025-04-27 03:19:36",39,3
653,"2025-04-27 03:24:36",42,3
654,"2025-04-27 03:29:36",42,3
655,"2025-04-27 03:34:36",43,3
656,"2025-04-27 03:39:36",44,3
657,"2025-04-27 03:44:36",43,3
658,"2025-04-27 03:49:36",NULL,3
659,"2025-04-27 03:54:36",41,3
660,"2025-04-27 03:59:36",38,3
661,"2025-04-27 04:04:36",36,3
662,"2025-04-27 04:09:36",36,3
663,"2025-04-27 04:14:36",36,3
664,"2025-04-27 04:19:36",33,3
665,"2025-04-27 04:24:36",32,3
666,"2025-04-27 04:29:36",36,3
667,"2025-04-27 04:34:36",34,3
668,"2025-04-27 04:39:36",31,3
669,"2025-04-27 04:44:36",28,3
670,"2025-04-27 04:49:36",30,3
671,"2025-04-27 04:54:36",32,3
672,"2025-04-27 04:59:36",34,3
673,"2025-04-27 05:04:36",37,3
674,"2025-04-27 05:09:36",36,3
675,"2025-04-27 05:14:36",38,3
676,"2025-04-27 05:19:36",NULL,3
677,"2025-04-27 05:24:36",45,3
678,"2025-04-27 05:29:36",42,3
679,"2025-04-27 05:34:36",39,3
680,"2025-04-27 05:39:36",36,3
681,"2025-04-27 05:44:36",36,3
682,"2025-04-27 05:49:36",36,3
683,"2025-04-27 05:54:36",NULL,3
684,"2025-04-27 05:59:36",35,3
685,"2025-04-27 06:04:36",37,3
686,"2025-04-27 06:09:36",37,3
687,"2025-04-27 06:14:36",36,3
688,"2025-04-27 06:19:36",38,3
689,"2025-04-27 06:24:36",41,3
690,"2025-04-27 06:29:36",40,3
691,"2025-04-27 06:34:36",42,3
692,"2025-04-27 06:39:36",42,3
693,"2025-04-27 06:44:36",39,3
